FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
2961801	hCD27++	CD27++	ANA40	1034378
2961802	hCD38++	CD38++	ANA808	1034378
2961803	hCD27++	CD27++	ANA40	1034379
2961804	hCD38++	CD38++	ANA808	1034379
2961805	hCD27-	CD27-	ANA40	1034380
2961806	hCD38++	CD38++	ANA808	1034380
2961807	hCD24-	CD24-	ANA807	1034380
2961808	hCD27-	CD27-	ANA40	1034381
2961809	hCD38++	CD38++	ANA808	1034381
2961810	hCD24-	CD24-	ANA807	1034381
2961811	hCD24-	CD24-	ANA807	1034382
2961812	hCD24-	CD24-	ANA807	1034383
2961813	PTPRC/iso:CD45RO+	B220+	ANA822	1034384
2961814	PTPRC/iso:CD45RO+	B220+	ANA822	1034385
2961815	hCR2-	CD21-	ANA919	1034386
2961816	hCR2-	CD21-	ANA919	1034387
2961817	hFAS+	CD95+	ANA85	1034388
2961818	hFAS+	CD95+	ANA85	1034389
2961819	hCXCR3+	CXCR3+	ANA76	1034390
2961820	hCXCR3+	CXCR3+	ANA76	1034391
2961821	hFAS+	CD95+	ANA85	1034392
2961822	hFAS+	CD95+	ANA85	1034393
2961823	PTPRC/iso:CD45RO+	B220+	ANA822	1034394
2961824	PTPRC/iso:CD45RO+	B220+	ANA822	1034395
2961825	hCR2-	CD21-	ANA919	1034396
2961826	hCR2-	CD21-	ANA919	1034397
2961827	hCD24-	CD24-	ANA807	1034398
2961828	hCD24-	CD24-	ANA807	1034399
2961829	hCXCR3+	CXCR3+	ANA76	1034400
2961830	hCXCR3+	CXCR3+	ANA76	1034401
2961831	hCD24-	CD24-	ANA807	1034402
2961832	hCD24-	CD24-	ANA807	1034403
2961833	hFAS+	CD95+	ANA85	1034404
2961834	hFAS+	CD95+	ANA85	1034405
2961835	PTPRC/iso:CD45RO+	B220+	ANA822	1034406
2961836	PTPRC/iso:CD45RO+	B220+	ANA822	1034407
2961837	hCR2-	CD21-	ANA919	1034408
2961838	hCR2-	CD21-	ANA919	1034409
2961839	hCXCR3+	CXCR3+	ANA76	1034410
2961840	hCXCR3+	CXCR3+	ANA76	1034411
2961841	hCR2-	CD21-	ANA919	1034412
2961842	hCR2-	CD21-	ANA919	1034413
2961843	hCD24-	CD24-	ANA807	1034414
2961844	hCD24-	CD24-	ANA807	1034415
2961845	hFAS+	CD95+	ANA85	1034416
2961846	hFAS+	CD95+	ANA85	1034417
2961847	hCXCR3+	CXCR3+	ANA76	1034418
2961848	hCXCR3+	CXCR3+	ANA76	1034419
2961849		95+		1034420
2961850	PTPRC/iso:CD45RO+	B220+	ANA822	1034421
2961851	hCR2-	CD21-	ANA919	1034422
2961852	hCD24-	CD24-	ANA807	1034423
2961853	hCXCR3+	CXCR3+	ANA76	1034424
2961854	hIGHD+	IgD+	ANA813	1034425
2961855	hCD27-	CD27-	ANA40	1034425
2961856	hIGHD+	IgD+	ANA813	1034426
2961857	hCD27+	CD27+	ANA40	1034426
2961858	hIGHD-	IgD-	ANA813	1034427
2961859	hCD27-	CD27-	ANA40	1034427
2961860	hIGHD-	IgD-	ANA813	1034428
2961861	hCD27+	CD27+	ANA40	1034428
2961862		NA		1034429
2961863	PTPRC/iso:CD45RO+	B220+	ANA822	1034430
2961864	PTPRC/iso:CD45RO+	B220+	ANA822	1034431
2961865		NA		1034432
2961866		NA		1034433
2961867	hMME+	CD10+	ANA930	1034434
2961868	hMME+	CD10+	ANA930	1034435
2961869	hMME+	CD10+	ANA930	1034436
2961870	hMME+	CD10+	ANA930	1034437
2961871	hFCER2+	CD23+	ANA922	1034438
2961872	hFCER2+	CD23+	ANA922	1034439
2961873		IGM+		1034440
2961874		IGM+		1034441
2961875	hMME+	CD10+	ANA930	1034442
2961876	hMME+	CD10+	ANA930	1034443
2961877	hFCER2+	CD23+	ANA922	1034444
2961878	hFCER2+	CD23+	ANA922	1034445
2961879		IGM+		1034446
2961880		IGM+		1034447
2961881	hMME+	CD10+	ANA930	1034448
2961882	hMME+	CD10+	ANA930	1034449
2961883	hFCER2+	CD23+	ANA922	1034450
2961884	hFCER2+	CD23+	ANA922	1034451
2961885		IGM+		1034452
2961886		IGM+		1034453
2961887	hFCER2+	CD23+	ANA922	1034454
2961888	hFCER2+	CD23+	ANA922	1034455
2961889		IGM+		1034456
2961890		IGM+		1034457
2961891		T1		1034458
2961892		T1		1034459
2961893		T2		1034460
2961894		T2		1034461
2961895		T3		1034462
2961896		T3		1034463
2961897	hMME+	CD10+	ANA930	1034464
2961898	hMME+	CD10+	ANA930	1034465
2961899		CDIGM+		1034466
2961900		CDIGM+		1034467
2961901		MTG+		1034468
2961902		MTG+		1034469
2961903	hMME+	CD10+	ANA930	1034470
2961904	hMME+	CD10+	ANA930	1034471
2961905	hFCER2+	CD23+	ANA922	1034472
2961906	hFCER2+	CD23+	ANA922	1034473
2961907		IGM+		1034474
2961908		IGM+		1034475
2961909	hMME+	CD10+	ANA930	1034476
2961910	hMME+	CD10+	ANA930	1034477
2961911	hFCER2+	CD23+	ANA922	1034478
2961912	hFCER2+	CD23+	ANA922	1034479
2961913	hFCER2+	CD23+	ANA922	1034480
2961914	hFCER2+	CD23+	ANA922	1034481
2961915		IGM+		1034482
2961916		IGM+		1034483
2961917	hMME+	CD10+	ANA930	1034484
2961918	hMME+	CD10+	ANA930	1034485
2961919	hFCER2+	CD23+	ANA922	1034486
2961920	hFCER2+	CD23+	ANA922	1034487
2961921		IGM+		1034488
2961922		IGM+		1034489
2961923	hMME+	CD10+	ANA930	1034490
2961924	hFCER2+	CD23+	ANA922	1034491
2961925	hIGHD+	IgD+	ANA813	1034492
2961926	hCD27-	CD27-	ANA40	1034492
2961927		MTG-		1034492
2961928	hIGHD+	IgD+	ANA813	1034493
2961929	hCD27-	CD27-	ANA40	1034493
2961930		MTG-		1034493
2961931		IGM+		1034494
2961932	hPTPRC/iso:h6-	CD45RA-	ANA816	1034495
2961933		Memory		1034495
2961934	hPTPRC/iso:h6-	CD45RA-	ANA816	1034496
2961935	hCXCR5-	CXCR5-	ANA78	1034496
2961936	hPTPRC/iso:h6-	CD45RA-	ANA816	1034497
2961937	hCXCR5-	CXCR5-	ANA78	1034497
2961938	hPTPRC/iso:h6-	CD45RA-	ANA816	1034498
2961939	hCXCR5+	CXCR5+	ANA78	1034498
2961940	hPTPRC/iso:h6-	CD45RA-	ANA816	1034499
2961941	hCXCR5+	CXCR5+	ANA78	1034499
2961942	hPTPRC/iso:h6+	CD45RA+ Naive	ANA816	1034500
2961943	hPTPRC/iso:h6-	CD45RA-	ANA816	1034501
2961944	hCCR7-	CCR7-	ANA37	1034501
2961945	hPTPRC/iso:h6-	CD45RA-	ANA816	1034502
2961946	hCCR7-	CCR7-	ANA37	1034502
2961947	hPTPRC/iso:h6-	CD45RA-	ANA816	1034503
2961948	hCCR7+	CCR7+	ANA37	1034503
2961949	hPTPRC/iso:h6-	CD45RA-	ANA816	1034504
2961950	hCCR7+	CCR7+	ANA37	1034504
2961951	hCXCR5+	CXCR5+	ANA78	1034505
2961952	hCD3E+	CD3+	ANA809	1034506
2961953	hCD4+	CD4+	ANA41	1034506
2961954	hCXCR5+	CXCR5+	ANA78	1034507
2961955	hPTPRC/iso:h6-	CD45RA-	ANA816	1034507
2961956	hIL2RA++	CD25++	ANA163	1034508
2961957	hIL7R+-	CD127+-	ANA182	1034508
2961958	hCD27++	CD27++	ANA40	1034509
2961959	hCD38++	CD38++	ANA808	1034509
2961960	hCD27++	CD27++	ANA40	1034510
2961961	hCD38++	CD38++	ANA808	1034510
2961962	hCD27-	CD27-	ANA40	1034511
2961963	hCD38++	CD38++	ANA808	1034511
2961964	hCD24-	CD24-	ANA807	1034511
2961965	hCD27-	CD27-	ANA40	1034512
2961966	hCD38++	CD38++	ANA808	1034512
2961967	hCD24-	CD24-	ANA807	1034512
2961968	hCD24-	CD24-	ANA807	1034513
2961969	hCD24-	CD24-	ANA807	1034514
2961970	PTPRC/iso:CD45RO+	B220+	ANA822	1034515
2961971	PTPRC/iso:CD45RO+	B220+	ANA822	1034516
2961972	hCR2-	CD21-	ANA919	1034517
2961973	hCR2-	CD21-	ANA919	1034518
2961974	hFAS+	CD95+	ANA85	1034519
2961975	hFAS+	CD95+	ANA85	1034520
2961976	hCXCR3+	CXCR3+	ANA76	1034521
2961977	hCXCR3+	CXCR3+	ANA76	1034522
2961978	hFAS+	CD95+	ANA85	1034523
2961979	hFAS+	CD95+	ANA85	1034524
2961980	PTPRC/iso:CD45RO+	B220+	ANA822	1034525
2961981	PTPRC/iso:CD45RO+	B220+	ANA822	1034526
2961982	hCR2-	CD21-	ANA919	1034527
2961983	hCR2-	CD21-	ANA919	1034528
2961984	hCD24-	CD24-	ANA807	1034529
2961985	hCD24-	CD24-	ANA807	1034530
2961986	hCXCR3+	CXCR3+	ANA76	1034531
2961987	hCXCR3+	CXCR3+	ANA76	1034532
2961988	hCD24-	CD24-	ANA807	1034533
2961989	hCD24-	CD24-	ANA807	1034534
2961990	hFAS+	CD95+	ANA85	1034535
2961991	hFAS+	CD95+	ANA85	1034536
2961992	PTPRC/iso:CD45RO+	B220+	ANA822	1034537
2961993	PTPRC/iso:CD45RO+	B220+	ANA822	1034538
2961994	hCR2-	CD21-	ANA919	1034539
2961995	hCR2-	CD21-	ANA919	1034540
2961996	hCXCR3+	CXCR3+	ANA76	1034541
2961997	hCXCR3+	CXCR3+	ANA76	1034542
2961998	hCR2-	CD21-	ANA919	1034543
2961999	hCR2-	CD21-	ANA919	1034544
2962000	hCD24-	CD24-	ANA807	1034545
2962001	hCD24-	CD24-	ANA807	1034546
2962002	hFAS+	CD95+	ANA85	1034547
2962003	hFAS+	CD95+	ANA85	1034548
2962004	hCXCR3+	CXCR3+	ANA76	1034549
2962005	hCXCR3+	CXCR3+	ANA76	1034550
2962006		95+		1034551
2962007	PTPRC/iso:CD45RO+	B220+	ANA822	1034552
2962008	hCR2-	CD21-	ANA919	1034553
2962009	hCD24-	CD24-	ANA807	1034554
2962010	hCXCR3+	CXCR3+	ANA76	1034555
2962011	hIGHD+	IgD+	ANA813	1034556
2962012	hCD27-	CD27-	ANA40	1034556
2962013	hIGHD+	IgD+	ANA813	1034557
2962014	hCD27+	CD27+	ANA40	1034557
2962015	hIGHD-	IgD-	ANA813	1034558
2962016	hCD27-	CD27-	ANA40	1034558
2962017	hIGHD-	IgD-	ANA813	1034559
2962018	hCD27+	CD27+	ANA40	1034559
2962019		NA		1034560
2962020	PTPRC/iso:CD45RO+	B220+	ANA822	1034561
2962021	PTPRC/iso:CD45RO+	B220+	ANA822	1034562
2962022		NA		1034563
2962023		NA		1034564
2962024	hMME+	CD10+	ANA930	1034565
2962025	hMME+	CD10+	ANA930	1034566
2962026	hMME+	CD10+	ANA930	1034567
2962027	hMME+	CD10+	ANA930	1034568
2962028	hFCER2+	CD23+	ANA922	1034569
2962029	hFCER2+	CD23+	ANA922	1034570
2962030		IGM+		1034571
2962031		IGM+		1034572
2962032	hMME+	CD10+	ANA930	1034573
2962033	hMME+	CD10+	ANA930	1034574
2962034	hFCER2+	CD23+	ANA922	1034575
2962035	hFCER2+	CD23+	ANA922	1034576
2962036		IGM+		1034577
2962037		IGM+		1034578
2962038	hMME+	CD10+	ANA930	1034579
2962039	hMME+	CD10+	ANA930	1034580
2962040	hFCER2+	CD23+	ANA922	1034581
2962041	hFCER2+	CD23+	ANA922	1034582
2962042		IGM+		1034583
2962043		IGM+		1034584
2962044	hFCER2+	CD23+	ANA922	1034585
2962045	hFCER2+	CD23+	ANA922	1034586
2962046		IGM+		1034587
2962047		IGM+		1034588
2962048		T1		1034589
2962049		T1		1034590
2962050		T2		1034591
2962051		T2		1034592
2962052		T3		1034593
2962053		T3		1034594
2962054	hMME+	CD10+	ANA930	1034595
2962055	hMME+	CD10+	ANA930	1034596
2962056		CDIGM+		1034597
2962057		CDIGM+		1034598
2962058		MTG+		1034599
2962059		MTG+		1034600
2962060	hMME+	CD10+	ANA930	1034601
2962061	hMME+	CD10+	ANA930	1034602
2962062	hFCER2+	CD23+	ANA922	1034603
2962063	hFCER2+	CD23+	ANA922	1034604
2962064		IGM+		1034605
2962065		IGM+		1034606
2962066	hMME+	CD10+	ANA930	1034607
2962067	hMME+	CD10+	ANA930	1034608
2962068	hFCER2+	CD23+	ANA922	1034609
2962069	hFCER2+	CD23+	ANA922	1034610
2962070	hFCER2+	CD23+	ANA922	1034611
2962071	hFCER2+	CD23+	ANA922	1034612
2962072		IGM+		1034613
2962073		IGM+		1034614
2962074	hMME+	CD10+	ANA930	1034615
2962075	hMME+	CD10+	ANA930	1034616
2962076	hFCER2+	CD23+	ANA922	1034617
2962077	hFCER2+	CD23+	ANA922	1034618
2962078		IGM+		1034619
2962079		IGM+		1034620
2962080	hMME+	CD10+	ANA930	1034621
2962081	hFCER2+	CD23+	ANA922	1034622
2962082	hIGHD+	IgD+	ANA813	1034623
2962083	hCD27-	CD27-	ANA40	1034623
2962084		MTG-		1034623
2962085	hIGHD+	IgD+	ANA813	1034624
2962086	hCD27-	CD27-	ANA40	1034624
2962087		MTG-		1034624
2962088		IGM+		1034625
2962089	hPTPRC/iso:h6-	CD45RA-	ANA816	1034626
2962090		Memory		1034626
2962091	hPTPRC/iso:h6-	CD45RA-	ANA816	1034627
2962092	hCCR6+	CCR6+	ANA36	1034627
2962093	hCCR4+	CCR4+	ANA34	1034627
2962094	hPTPRC/iso:h6-	CD45RA-	ANA816	1034628
2962095	hCCR6+	CCR6+	ANA36	1034628
2962096	hCCR4+	CCR4+	ANA34	1034628
2962097	hPTPRC/iso:h6-	CD45RA-	ANA816	1034629
2962098	hCCR6+	CCR6+	ANA36	1034629
2962099	hCXCR3+	CXCR3+	ANA76	1034629
2962100	hPTPRC/iso:h6-	CD45RA-	ANA816	1034630
2962101	hCCR6+	CCR6+	ANA36	1034630
2962102	hCXCR3+	CXCR3+	ANA76	1034630
2962103	hPTPRC/iso:h6-	CD45RA-	ANA816	1034631
2962104	hCCR6-	CCR6-	ANA36	1034631
2962105	hCCR4+	CCR4+	ANA34	1034631
2962106	hPTPRC/iso:h6-	CD45RA-	ANA816	1034632
2962107	hCCR6-	CCR6-	ANA36	1034632
2962108	hCCR4+	CCR4+	ANA34	1034632
2962109	hPTPRC/iso:h6-	CD45RA-	ANA816	1034633
2962110	hCXCR5-	CXCR5-	ANA78	1034633
2962111	hCXCR3-	CXCR3-	ANA76	1034633
2962112	hCCR6-	CCR6-	ANA36	1034633
2962113	hPTPRC/iso:h6-	CD45RA-	ANA816	1034634
2962114	hCXCR5-	CXCR5-	ANA78	1034634
2962115	hCXCR3-	CXCR3-	ANA76	1034634
2962116	hCCR6-	CCR6-	ANA36	1034634
2962117	hPTPRC/iso:h6-	CD45RA-	ANA816	1034635
2962118	hCXCR5-	CXCR5-	ANA78	1034635
2962119	hCXCR3-	CXCR3-	ANA76	1034635
2962120	hCCR6+	CCR6+	ANA36	1034635
2962121	hPTPRC/iso:h6-	CD45RA-	ANA816	1034636
2962122	hCXCR5-	CXCR5-	ANA78	1034636
2962123	hCXCR3-	CXCR3-	ANA76	1034636
2962124	hCCR6+	CCR6+	ANA36	1034636
2962125	hPTPRC/iso:h6-	CD45RA-	ANA816	1034637
2962126	hCXCR5-	CXCR5-	ANA78	1034637
2962127	hCXCR3+	CXCR3+	ANA76	1034637
2962128	hCCR6+	CCR6+	ANA36	1034637
2962129	hPTPRC/iso:h6-	CD45RA-	ANA816	1034638
2962130	hCXCR5-	CXCR5-	ANA78	1034638
2962131	hCXCR3+	CXCR3+	ANA76	1034638
2962132	hCCR6+	CCR6+	ANA36	1034638
2962133	hPTPRC/iso:h6-	CD45RA-	ANA816	1034639
2962134	hCXCR5-	CXCR5-	ANA78	1034639
2962135	hPTPRC/iso:h6-	CD45RA-	ANA816	1034640
2962136	hCXCR5-	CXCR5-	ANA78	1034640
2962137	hPTPRC/iso:h6-	CD45RA-	ANA816	1034641
2962138	hCXCR5+	CXCR5+	ANA78	1034641
2962139	hCXCR3-	CXCR3-	ANA76	1034641
2962140	hCCR6-	CCR6-	ANA36	1034641
2962141	hPTPRC/iso:h6-	CD45RA-	ANA816	1034642
2962142	hCXCR5+	CXCR5+	ANA78	1034642
2962143	hCXCR3-	CXCR3-	ANA76	1034642
2962144	hCCR6-	CCR6-	ANA36	1034642
2962145	hPTPRC/iso:h6-	CD45RA-	ANA816	1034643
2962146	hCXCR5+	CXCR5+	ANA78	1034643
2962147	hCXCR3-	CXCR3-	ANA76	1034643
2962148	hCCR6+	CCR6+	ANA36	1034643
2962149	hPTPRC/iso:h6-	CD45RA-	ANA816	1034644
2962150	hCXCR5+	CXCR5+	ANA78	1034644
2962151	hCXCR3-	CXCR3-	ANA76	1034644
2962152	hCCR6+	CCR6+	ANA36	1034644
2962153	hPTPRC/iso:h6-	CD45RA-	ANA816	1034645
2962154	hCXCR5+	CXCR5+	ANA78	1034645
2962155	hCXCR3+	CXCR3+	ANA76	1034645
2962156	hCCR6+	CCR6+	ANA36	1034645
2962157	hPTPRC/iso:h6-	CD45RA-	ANA816	1034646
2962158	hCXCR5+	CXCR5+	ANA78	1034646
2962159	hCXCR3+	CXCR3+	ANA76	1034646
2962160	hCCR6+	CCR6+	ANA36	1034646
2962161	hPTPRC/iso:h6-	CD45RA-	ANA816	1034647
2962162	hCXCR5+	CXCR5+	ANA78	1034647
2962163	hPTPRC/iso:h6-	CD45RA-	ANA816	1034648
2962164	hCXCR5+	CXCR5+	ANA78	1034648
2962165	hPTPRC/iso:h6+	CD45RA+ Naive	ANA816	1034649
2962166	hPTPRC/iso:h6-	CD45RA-	ANA816	1034650
2962167	hCCR7-	CCR7-	ANA37	1034650
2962168	hPTPRC/iso:h6-	CD45RA-	ANA816	1034651
2962169	hCCR7-	CCR7-	ANA37	1034651
2962170	hPTPRC/iso:h6-	CD45RA-	ANA816	1034652
2962171	hCCR7+	CCR7+	ANA37	1034652
2962172	hPTPRC/iso:h6-	CD45RA-	ANA816	1034653
2962173	hCCR7+	CCR7+	ANA37	1034653
2962174	hCXCR5+	CXCR5+	ANA78	1034654
2962175	hCD3E+	CD3+	ANA809	1034655
2962176	hCD4+	CD4+	ANA41	1034655
2962177	hCXCR5+	CXCR5+	ANA78	1034656
2962178	hPTPRC/iso:h6-	CD45RA-	ANA816	1034656
2962179	hCXCR5+	CXCR5+	ANA78	1034657
2962180	hPTPRC/iso:h6-	CD45RA-	ANA816	1034657
2962181	hICOS+	ICOS+	ANA898	1034657
2962182	hCXCR5+	CXCR5+	ANA78	1034658
2962183	hPTPRC/iso:h6-	CD45RA-	ANA816	1034658
2962184	hICOS+	ICOS+	ANA898	1034658
2962185	hIL2RA++	CD25++	ANA163	1034659
2962186	hIL7R+-	CD127+-	ANA182	1034659
2962187	hCD27++	CD27++	ANA40	1034660
2962188	hCD38++	CD38++	ANA808	1034660
2962189	hCD27++	CD27++	ANA40	1034661
2962190	hCD38++	CD38++	ANA808	1034661
2962191	hCD27-	CD27-	ANA40	1034662
2962192	hCD38++	CD38++	ANA808	1034662
2962193	hCD24-	CD24-	ANA807	1034662
2962194	hCD27-	CD27-	ANA40	1034663
2962195	hCD38++	CD38++	ANA808	1034663
2962196	hCD24-	CD24-	ANA807	1034663
2962197	hCD24-	CD24-	ANA807	1034664
2962198	hCD24-	CD24-	ANA807	1034665
2962199	PTPRC/iso:CD45RO+	B220+	ANA822	1034666
2962200	PTPRC/iso:CD45RO+	B220+	ANA822	1034667
2962201	hCR2-	CD21-	ANA919	1034668
2962202	hCR2-	CD21-	ANA919	1034669
2962203	hFAS+	CD95+	ANA85	1034670
2962204	hFAS+	CD95+	ANA85	1034671
2962205	hCXCR3+	CXCR3+	ANA76	1034672
2962206	hCXCR3+	CXCR3+	ANA76	1034673
2962207	hFAS+	CD95+	ANA85	1034674
2962208	hFAS+	CD95+	ANA85	1034675
2962209	PTPRC/iso:CD45RO+	B220+	ANA822	1034676
2962210	PTPRC/iso:CD45RO+	B220+	ANA822	1034677
2962211	hCR2-	CD21-	ANA919	1034678
2962212	hCR2-	CD21-	ANA919	1034679
2962213	hCD24-	CD24-	ANA807	1034680
2962214	hCD24-	CD24-	ANA807	1034681
2962215	hCXCR3+	CXCR3+	ANA76	1034682
2962216	hCXCR3+	CXCR3+	ANA76	1034683
2962217	hCD24-	CD24-	ANA807	1034684
2962218	hCD24-	CD24-	ANA807	1034685
2962219	hFAS+	CD95+	ANA85	1034686
2962220	hFAS+	CD95+	ANA85	1034687
2962221	PTPRC/iso:CD45RO+	B220+	ANA822	1034688
2962222	PTPRC/iso:CD45RO+	B220+	ANA822	1034689
2962223	hCR2-	CD21-	ANA919	1034690
2962224	hCR2-	CD21-	ANA919	1034691
2962225	hCXCR3+	CXCR3+	ANA76	1034692
2962226	hCXCR3+	CXCR3+	ANA76	1034693
2962227	hCR2-	CD21-	ANA919	1034694
2962228	hCR2-	CD21-	ANA919	1034695
2962229	hCD24-	CD24-	ANA807	1034696
2962230	hCD24-	CD24-	ANA807	1034697
2962231	hFAS+	CD95+	ANA85	1034698
2962232	hFAS+	CD95+	ANA85	1034699
2962233	hCXCR3+	CXCR3+	ANA76	1034700
2962234	hCXCR3+	CXCR3+	ANA76	1034701
2962235		95+		1034702
2962236	PTPRC/iso:CD45RO+	B220+	ANA822	1034703
2962237	hCR2-	CD21-	ANA919	1034704
2962238	hCD24-	CD24-	ANA807	1034705
2962239	hCXCR3+	CXCR3+	ANA76	1034706
2962240	hIGHD+	IgD+	ANA813	1034707
2962241	hCD27-	CD27-	ANA40	1034707
2962242	hIGHD+	IgD+	ANA813	1034708
2962243	hCD27+	CD27+	ANA40	1034708
2962244	hIGHD-	IgD-	ANA813	1034709
2962245	hCD27-	CD27-	ANA40	1034709
2962246	hIGHD-	IgD-	ANA813	1034710
2962247	hCD27+	CD27+	ANA40	1034710
2962248		NA		1034711
2962249	PTPRC/iso:CD45RO+	B220+	ANA822	1034712
2962250	PTPRC/iso:CD45RO+	B220+	ANA822	1034713
2962251		NA		1034714
2962252		NA		1034715
2962253	hMME+	CD10+	ANA930	1034716
2962254	hMME+	CD10+	ANA930	1034717
2962255	hMME+	CD10+	ANA930	1034718
2962256	hMME+	CD10+	ANA930	1034719
2962257	hFCER2+	CD23+	ANA922	1034720
2962258	hFCER2+	CD23+	ANA922	1034721
2962259		IGM+		1034722
2962260		IGM+		1034723
2962261	hMME+	CD10+	ANA930	1034724
2962262	hMME+	CD10+	ANA930	1034725
2962263	hFCER2+	CD23+	ANA922	1034726
2962264	hFCER2+	CD23+	ANA922	1034727
2962265		IGM+		1034728
2962266		IGM+		1034729
2962267	hMME+	CD10+	ANA930	1034730
2962268	hMME+	CD10+	ANA930	1034731
2962269	hFCER2+	CD23+	ANA922	1034732
2962270	hFCER2+	CD23+	ANA922	1034733
2962271		IGM+		1034734
2962272		IGM+		1034735
2962273	hFCER2+	CD23+	ANA922	1034736
2962274	hFCER2+	CD23+	ANA922	1034737
2962275		IGM+		1034738
2962276		IGM+		1034739
2962277		T1		1034740
2962278		T1		1034741
2962279		T2		1034742
2962280		T2		1034743
2962281		T3		1034744
2962282		T3		1034745
2962283	hMME+	CD10+	ANA930	1034746
2962284	hMME+	CD10+	ANA930	1034747
2962285		CDIGM+		1034748
2962286		CDIGM+		1034749
2962287		MTG+		1034750
2962288		MTG+		1034751
2962289	hMME+	CD10+	ANA930	1034752
2962290	hMME+	CD10+	ANA930	1034753
2962291	hFCER2+	CD23+	ANA922	1034754
2962292	hFCER2+	CD23+	ANA922	1034755
2962293		IGM+		1034756
2962294		IGM+		1034757
2962295	hMME+	CD10+	ANA930	1034758
2962296	hMME+	CD10+	ANA930	1034759
2962297	hFCER2+	CD23+	ANA922	1034760
2962298	hFCER2+	CD23+	ANA922	1034761
2962299	hFCER2+	CD23+	ANA922	1034762
2962300	hFCER2+	CD23+	ANA922	1034763
2962301		IGM+		1034764
2962302		IGM+		1034765
2962303	hMME+	CD10+	ANA930	1034766
2962304	hMME+	CD10+	ANA930	1034767
2962305	hFCER2+	CD23+	ANA922	1034768
2962306	hFCER2+	CD23+	ANA922	1034769
2962307		IGM+		1034770
2962308		IGM+		1034771
2962309	hMME+	CD10+	ANA930	1034772
2962310	hFCER2+	CD23+	ANA922	1034773
2962311	hIGHD+	IgD+	ANA813	1034774
2962312	hCD27-	CD27-	ANA40	1034774
2962313		MTG-		1034774
2962314	hIGHD+	IgD+	ANA813	1034775
2962315	hCD27-	CD27-	ANA40	1034775
2962316		MTG-		1034775
2962317		IGM+		1034776
2962318	hPTPRC/iso:h6-	CD45RA-	ANA816	1034777
2962319		Memory		1034777
2962320	hPTPRC/iso:h6-	CD45RA-	ANA816	1034778
2962321	hCXCR5-	CXCR5-	ANA78	1034778
2962322	hPTPRC/iso:h6-	CD45RA-	ANA816	1034779
2962323	hCXCR5-	CXCR5-	ANA78	1034779
2962324	hPTPRC/iso:h6-	CD45RA-	ANA816	1034780
2962325	hCXCR5+	CXCR5+	ANA78	1034780
2962326	hPTPRC/iso:h6-	CD45RA-	ANA816	1034781
2962327	hCXCR5+	CXCR5+	ANA78	1034781
2962328	hPTPRC/iso:h6+	CD45RA+ Naive	ANA816	1034782
2962329	hPTPRC/iso:h6-	CD45RA-	ANA816	1034783
2962330	hCCR7-	CCR7-	ANA37	1034783
2962331	hPTPRC/iso:h6-	CD45RA-	ANA816	1034784
2962332	hCCR7-	CCR7-	ANA37	1034784
2962333	hPTPRC/iso:h6-	CD45RA-	ANA816	1034785
2962334	hCCR7+	CCR7+	ANA37	1034785
2962335	hPTPRC/iso:h6-	CD45RA-	ANA816	1034786
2962336	hCCR7+	CCR7+	ANA37	1034786
2962337	hCXCR5+	CXCR5+	ANA78	1034787
2962338	hCD3E+	CD3+	ANA809	1034788
2962339	hCD4+	CD4+	ANA41	1034788
2962340	hCXCR5+	CXCR5+	ANA78	1034789
2962341	hPTPRC/iso:h6-	CD45RA-	ANA816	1034789
2962342	hIL2RA++	CD25++	ANA163	1034790
2962343	hIL7R+-	CD127+-	ANA182	1034790
2962344	hCD27++	CD27++	ANA40	1034791
2962345	hCD38++	CD38++	ANA808	1034791
2962346	hCD27++	CD27++	ANA40	1034792
2962347	hCD38++	CD38++	ANA808	1034792
2962348	hCD27-	CD27-	ANA40	1034793
2962349	hCD38++	CD38++	ANA808	1034793
2962350	hCD24-	CD24-	ANA807	1034793
2962351	hCD27-	CD27-	ANA40	1034794
2962352	hCD38++	CD38++	ANA808	1034794
2962353	hCD24-	CD24-	ANA807	1034794
2962354	hCD24-	CD24-	ANA807	1034795
2962355	hCD24-	CD24-	ANA807	1034796
2962356	PTPRC/iso:CD45RO+	B220+	ANA822	1034797
2962357	PTPRC/iso:CD45RO+	B220+	ANA822	1034798
2962358	hCR2-	CD21-	ANA919	1034799
2962359	hCR2-	CD21-	ANA919	1034800
2962360	hFAS+	CD95+	ANA85	1034801
2962361	hFAS+	CD95+	ANA85	1034802
2962362	hCXCR3+	CXCR3+	ANA76	1034803
2962363	hCXCR3+	CXCR3+	ANA76	1034804
2962364	hFAS+	CD95+	ANA85	1034805
2962365	hFAS+	CD95+	ANA85	1034806
2962366	PTPRC/iso:CD45RO+	B220+	ANA822	1034807
2962367	PTPRC/iso:CD45RO+	B220+	ANA822	1034808
2962368	hCR2-	CD21-	ANA919	1034809
2962369	hCR2-	CD21-	ANA919	1034810
2962370	hCD24-	CD24-	ANA807	1034811
2962371	hCD24-	CD24-	ANA807	1034812
2962372	hCXCR3+	CXCR3+	ANA76	1034813
2962373	hCXCR3+	CXCR3+	ANA76	1034814
2962374	hCD24-	CD24-	ANA807	1034815
